NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
LINC00595	2	LINC00856,LINC00595
MACF1	2	KIAA0754,MACF1
MICAL2	2	MICAL2,MICALCL
MYO18A	2	TIAF1,MYO18A
NABP1	2	NABP1,LOC105747689
PIGP	2	LOC105372795,PIGP
RPL37	2	LOC100506548,RPL37
RRM2	2	C2orf48,RRM2
S1PR3	2	C9orf47,S1PR3
SNX19	2	SNX19,LOC103611081
TMEM8B	2	TMEM8B,LINC00950
TSPAN14	2	TSPAN14,LOC102723703
A1BG	1	A1BG
A1BG-AS1	1	A1BG-AS1
A2M	1	A2M
A2M-AS1	1	A2M-AS1
A4GALT	1	A4GALT
AAAS	1	AAAS
AADAT	1	AADAT
AAGAB	1	AAGAB
AAK1	1	AAK1
AAMDC	1	AAMDC
AAMP	1	AAMP
AAR2	1	AAR2
AARD	1	AARD
AARS1	1	AARS
AARS2	1	AARS2
AASDH	1	AASDH
AASDHPPT	1	AASDHPPT
AASS	1	AASS
AATF	1	AATF
AATK	1	AATK
ABALON	1	ABALON
ABAT	1	ABAT
ABCA1	1	ABCA1
ABCA10	1	ABCA10
ABCA11P	1	ABCA11P
ABCA12	1	ABCA12
ABCA15P	1	CRYM-AS1
ABCA2	1	ABCA2
ABCA3	1	ABCA3
ABCA4	1	ABCA4
ABCA5	1	ABCA5
ABCA6	1	ABCA6
ABCA7	1	ABCA7
ABCA8	1	ABCA8
ABCA9	1	ABCA9
ABCB10	1	ABCB10
ABCB6	1	ABCB6
ABCB7	1	ABCB7
ABCB8	1	ABCB8
ABCB9	1	ABCB9
ABCC1	1	ABCC1
ABCC10	1	ABCC10
ABCC2	1	ABCC2
ABCC3	1	ABCC3
ABCC4	1	ABCC4
ABCC5	1	ABCC5
ABCC6	1	ABCC6
ABCC6P2	1	ABCC6P2
ABCC9	1	ABCC9
ABCD1	1	ABCD1
ABCD2	1	ABCD2
ABCD4	1	ABCD4
ABCE1	1	ABCE1
ABCF1	1	ABCF1
ABCF2	1	ABCF2
ABCF3	1	ABCF3
ABCG2	1	ABCG2
ABCG4	1	ABCG4
ABHD10	1	ABHD10
ABHD11	1	ABHD11
ABHD12	1	ABHD12
ABHD13	1	ABHD13
ABHD14B	1	ABHD14B
ABHD15	1	ABHD15
ABHD16A	1	ABHD16A
ABHD17A	1	ABHD17A
