NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
DNAJC12	1	DNAJC12
DNAJC13	1	DNAJC13
DNAJC14	1	DNAJC14
DNAJC15	1	DNAJC15
DNAJC16	1	DNAJC16
DNAJC17	1	DNAJC17
DNAJC18	1	DNAJC18
DNAJC19	1	DNAJC19
DNAJC2	1	DNAJC2
DNAJC21	1	DNAJC21
DNAJC22	1	DNAJC22
DNAJC24	1	DNAJC24
DNAJC25	1	DNAJC25
DNAJC27	1	DNAJC27
DNAJC27-AS1	1	DNAJC27-AS1
DNAJC28	1	DNAJC28
DNAJC3	1	DNAJC3
DNAJC3-DT	1	DNAJC3-DT
DNAJC30	1	DNAJC30
DNAJC4	1	DNAJC4
DNAJC5	1	DNAJC5
DNAJC6	1	DNAJC6
DNAJC7	1	DNAJC7
DNAJC8	1	DNAJC8
DNAJC9	1	DNAJC9
DNAJC9-AS1	1	DNAJC9-AS1
DNAL1	1	DNAL1
DNAL4	1	DNAL4
DNALI1	1	DNALI1
DNASE1	1	DNASE1
DNASE1L1	1	DNASE1L1
DNASE1L2	1	DNASE1L2
DNASE1L3	1	DNASE1L3
DNASE2	1	DNASE2
DND1	1	DND1
DNHD1	1	DNHD1
DNLZ	1	DNLZ
DNM1	1	DNM1
DNM1L	1	DNM1L
DNM1P46	1	DNM1P46
DNM2	1	DNM2
DNM3	1	DNM3
DNM3OS	1	DNM3OS
DNMBP	1	DNMBP
DNMBP-AS1	1	DNMBP-AS1
DNMT1	1	DNMT1
DNMT3A	1	DNMT3A
DNMT3B	1	DNMT3B
DNPEP	1	DNPEP
DNPH1	1	DNPH1
DNTTIP1	1	DNTTIP1
DNTTIP2	1	DNTTIP2
DOC2A	1	DOC2A
DOC2GP	1	DOC2GP
DOCK1	1	DOCK1
DOCK10	1	DOCK10
DOCK11	1	DOCK11
DOCK2	1	DOCK2
DOCK3	1	DOCK3
DOCK4	1	DOCK4
DOCK5	1	DOCK5
DOCK6	1	DOCK6
DOCK7	1	DOCK7
DOCK9	1	DOCK9
DOCK9-DT	1	DOCK9-DT
DOHH	1	DOHH
DOK1	1	DOK1
DOK3	1	DOK3
DOK4	1	DOK4
DOK5	1	DOK5
DOK6	1	DOK6
DOLK	1	DOLK
DOLPP1	1	DOLPP1
DONSON	1	DONSON
DOP1A	1	DOP1A
DOP1B	1	DOP1B
DOT1L	1	DOT1L
DPAGT1	1	DPAGT1
DPCD	1	DPCD
DPF1	1	DPF1
DPF2	1	DPF2
DPF3	1	DPF3
DPH1	1	DPH1
DPH2	1	DPH2
DPH3	1	DPH3
DPH5	1	DPH5
DPH5-DT	1	LOC102606465
DPH6	1	DPH6
DPH6-DT	1	DPH6-DT
DPM1	1	DPM1
DPM2	1	DPM2
DPM3	1	DPM3
DPP3	1	DPP3
DPP3-DT	1	LOC101928069
DPP4	1	DPP4
DPP8	1	DPP8
DPP9	1	DPP9
DPRXP4	1	DPRXP4
DPT	1	DPT
DPY19L1	1	DPY19L1
DPY19L1P1	1	DPY19L1P1
DPY19L1P2	1	DPY19L1P2
DPY19L2	1	DPY19L2
DPY19L2P2	1	DPY19L2P2
DPY19L3	1	DPY19L3
DPY19L3-DT	1	LOC400684
DPY19L4	1	DPY19L4
DPY30	1	DPY30
DPYD	1	DPYD
DPYSL2	1	DPYSL2
DPYSL3	1	DPYSL3
DPYSL4	1	DPYSL4
DQX1	1	DQX1
DR1	1	DR1
DRAM1	1	DRAM1
DRAM2	1	DRAM2
DRAP1	1	DRAP1
DRC3	1	DRC3
DRD2	1	DRD2
DRD4	1	DRD4
DRG1	1	DRG1
DRG2	1	DRG2
DROSHA	1	DROSHA
DRP2	1	DRP2
DSC2	1	DSC2
DSC3	1	DSC3
DSCC1	1	DSCC1
DSCR9	1	DSCR9
DSE	1	DSE
DSEL	1	DSEL
DSN1	1	DSN1
DSP	1	DSP
DST	1	DST
DSTN	1	DSTN
DSTNP2	1	DSTNP2
DSTYK	1	DSTYK
DTD1	1	DTD1
DTD2	1	DTD2
DTL	1	DTL
DTNA	1	DTNA
DTNB	1	DTNB
DTNBP1	1	DTNBP1
DTWD1	1	DTWD1
DTWD2	1	DTWD2
DTX2	1	DTX2
DTX2P1-UPK3BP1-PMS2P11	1	DTX2P1-UPK3BP1-PMS2P11
DTX3	1	DTX3
DTX3L	1	DTX3L
DTX4	1	DTX4
DTYMK	1	DTYMK
DUBR	1	DUBR
DUOX1	1	DUOX1
DUOX2	1	DUOX2
DUOXA1	1	DUOXA1
DUS1L	1	DUS1L
DUS2	1	DUS2
DUS3L	1	DUS3L
DUS4L	1	DUS4L
DUSP1	1	DUSP1
DUSP10	1	DUSP10
DUSP11	1	DUSP11
DUSP12	1	DUSP12
DUSP14	1	DUSP14
DUSP16	1	DUSP16
DUSP18	1	DUSP18
DUSP19	1	DUSP19
DUSP2	1	DUSP2
DUSP22	1	DUSP22
DUSP23	1	DUSP23
DUSP28	1	DUSP28
DUSP3	1	DUSP3
DUSP4	1	DUSP4
DUSP5	1	DUSP5
DUSP5P1	1	DUSP5P1
DUSP6	1	DUSP6
DUSP7	1	DUSP7
DUSP8	1	DUSP8
DUT	1	DUT
DUXAP8	1	DUXAP8
DUXAP9	1	DUXAP9
DVL1	1	DVL1
DVL2	1	DVL2
DVL3	1	DVL3
DXO	1	DXO
DYM	1	DYM
DYNC1H1	1	DYNC1H1
DYNC1I1	1	DYNC1I1
DYNC1I2	1	DYNC1I2
DYNC1LI1	1	DYNC1LI1
DYNC1LI2	1	DYNC1LI2
DYNC1LI2-DT	1	LOC106699570
DYNC2H1	1	DYNC2H1
DYNC2I1	1	WDR60
DYNC2I2	1	WDR34
DYNC2LI1	1	DYNC2LI1
DYNLL1	1	DYNLL1
DYNLL2	1	DYNLL2
DYNLRB1	1	DYNLRB1
DYNLT1	1	DYNLT1
DYNLT2	1	TCTE3
DYNLT3	1	DYNLT3
DYNLT5	1	TCTEX1D1
DYRK1A	1	DYRK1A
DYRK1B	1	DYRK1B
DYRK2	1	DYRK2
DYRK3	1	DYRK3
DYRK4	1	DYRK4
DYSF	1	DYSF
DZANK1	1	DZANK1
DZIP1	1	DZIP1
DZIP1L	1	DZIP1L
DZIP3	1	DZIP3
E2F1	1	E2F1
E2F2	1	E2F2
E2F3	1	E2F3
E2F4	1	E2F4
E2F5	1	E2F5
E2F6	1	E2F6
E2F7	1	E2F7
E2F8	1	E2F8
E4F1	1	E4F1
EAF2	1	EAF2
EAPP	1	EAPP
EARS2	1	EARS2
EBAG9	1	EBAG9
EBF1	1	EBF1
EBF2	1	EBF2
EBF3	1	EBF3
EBF4	1	EBF4
EBI3	1	EBI3
EBLN2	1	EBLN2
EBLN3P	1	EBLN3P
EBNA1BP2	1	EBNA1BP2
EBP	1	EBP
ECD	1	ECD
ECE1	1	ECE1
ECH1	1	ECH1
ECHDC1	1	ECHDC1
ECHDC2	1	ECHDC2
ECHDC3	1	ECHDC3
ECHS1	1	ECHS1
ECI1	1	ECI1
ECI2	1	ECI2
ECI2-DT	1	LOC100507506
ECM1	1	ECM1
ECM2	1	ECM2
ECPAS	1	ECPAS
ECRG4	1	C2orf40
ECSIT	1	ECSIT
ECT2	1	ECT2
EDA	1	EDA
EDA2R	1	EDA2R
EDARADD	1	EDARADD
EDC3	1	EDC3
EDC4	1	EDC4
EDEM1	1	EDEM1
EDEM2	1	EDEM2
EDEM3	1	EDEM3
EDF1	1	EDF1
EDIL3	1	EDIL3
EDN1	1	EDN1
EDNRA	1	EDNRA
EDNRB	1	EDNRB
EDRF1	1	EDRF1
EEA1	1	EEA1
EED	1	EED
EEF1A1	1	EEF1A1
EEF1AKMT1	1	EEF1AKMT1
EEF1AKMT2	1	EEF1AKMT2
EEF1AKMT3	1	EEF1AKMT3
EEF1AKMT4	1	EEF1AKMT4
EEF1B2	1	EEF1B2
EEF1D	1	EEF1D
EEF1DP3	1	EEF1DP3
EEF1E1	1	EEF1E1
EEF1G	1	EEF1G
EEF2	1	EEF2
EEF2K	1	EEF2K
EEF2KMT	1	EEF2KMT
EEFSEC	1	EEFSEC
EEIG1	1	FAM102A
EEPD1	1	EEPD1
EFCAB11	1	EFCAB11
EFCAB12	1	EFCAB12
EFCAB13	1	EFCAB13
EFCAB13-DT	1	THCAT158
EFCAB14	1	EFCAB14
EFCAB2	1	EFCAB2
EFCAB5	1	EFCAB5
EFCAB6	1	EFCAB6
EFCAB7	1	EFCAB7
EFEMP1	1	EFEMP1
EFEMP2	1	EFEMP2
EFHB	1	EFHB
EFHC1	1	EFHC1
EFHC2	1	EFHC2
EFHD1	1	EFHD1
EFHD2	1	EFHD2
EFL1	1	EFL1
EFNA3	1	EFNA3
EFNA4	1	EFNA4
EFNA5	1	EFNA5
EFNB1	1	EFNB1
EFNB2	1	EFNB2
EFNB3	1	EFNB3
EFR3A	1	EFR3A
EFR3B	1	EFR3B
EFS	1	EFS
EFTUD2	1	EFTUD2
EGF	1	EGF
EGFL6	1	EGFL6
EGFL7	1	EGFL7
EGFR	1	EGFR
EGLN1	1	EGLN1
EGLN3	1	EGLN3
EGR1	1	EGR1
EGR2	1	EGR2
EGR3	1	EGR3
EHBP1	1	EHBP1
EHBP1-AS1	1	LOC100132215
EHBP1L1	1	EHBP1L1
EHD1	1	EHD1
EHD2	1	EHD2
EHD3	1	EHD3
EHD4	1	EHD4
EHHADH	1	EHHADH
EHMT1	1	EHMT1
EHMT2	1	EHMT2
EI24	1	EI24
EID1	1	EID1
EID2	1	EID2
EID2B	1	EID2B
EID3	1	EID3
EIF1	1	EIF1
EIF1AD	1	EIF1AD
EIF1AX	1	EIF1AX
EIF1AY	1	EIF1AY
EIF1B	1	EIF1B
EIF1B-AS1	1	EIF1B-AS1
EIF2A	1	EIF2A
EIF2AK1	1	EIF2AK1
EIF2AK2	1	EIF2AK2
EIF2AK3	1	EIF2AK3
EIF2AK3-DT	1	LOC101928403
EIF2AK4	1	EIF2AK4
EIF2B1	1	EIF2B1
EIF2B2	1	EIF2B2
EIF2B3	1	EIF2B3
EIF2B5	1	EIF2B5
EIF2D	1	EIF2D
EIF2S1	1	EIF2S1
EIF2S2	1	EIF2S2
EIF2S3	1	EIF2S3
EIF2S3B	1	EIF2S3B
EIF3B	1	EIF3B
EIF3D	1	EIF3D
EIF3E	1	EIF3E
EIF3F	1	EIF3F
EIF3G	1	EIF3G
EIF3H	1	EIF3H
EIF3I	1	EIF3I
EIF3J	1	EIF3J
EIF3K	1	EIF3K
EIF3L	1	EIF3L
EIF3M	1	EIF3M
EIF4A2	1	EIF4A2
EIF4A3	1	EIF4A3
EIF4B	1	EIF4B
EIF4E	1	EIF4E
EIF4E2	1	EIF4E2
EIF4E3	1	EIF4E3
EIF4EBP2	1	EIF4EBP2
EIF4EBP3	1	EIF4EBP3
EIF4ENIF1	1	EIF4ENIF1
EIF4G1	1	EIF4G1
EIF4G2	1	EIF4G2
EIF4G3	1	EIF4G3
EIF4H	1	EIF4H
EIF5	1	EIF5
EIF5A	1	EIF5A
EIF5A2	1	EIF5A2
EIF5AL1	1	EIF5AL1
EIF5B	1	EIF5B
EIF6	1	EIF6
EIPR1	1	EIPR1
ELAC1	1	ELAC1
ELAC2	1	ELAC2
ELANE	1	ELANE
ELAPOR1	1	KIAA1324
ELAPOR2	1	KIAA1324L
ELAVL1	1	ELAVL1
ELF1	1	ELF1
ELF2	1	ELF2
ELF4	1	ELF4
ELK1	1	ELK1
ELK3	1	ELK3
ELK4	1	ELK4
ELL2	1	ELL2
ELL3	1	ELL3
ELMO1	1	ELMO1
ELMO2	1	ELMO2
ELMO3	1	ELMO3
ELMOD2	1	ELMOD2
ELMOD3	1	ELMOD3
ELN	1	ELN
ELOA	1	ELOA
ELOA-AS1	1	ELOA-AS1
ELOB	1	ELOB
ELOC	1	ELOC
ELOF1	1	ELOF1
ELOVL1	1	ELOVL1
ELOVL2	1	ELOVL2
ELOVL3	1	ELOVL3
ELOVL4	1	ELOVL4
ELOVL5	1	ELOVL5
ELOVL6	1	ELOVL6
ELP1	1	ELP1
ELP2	1	ELP2
ELP3	1	ELP3
ELP4	1	ELP4
ELP5	1	ELP5
ELP6	1	ELP6
EMB	1	EMB
EMC1	1	EMC1
EMC1-AS1	1	LOC101927895
EMC10	1	EMC10
EMC2	1	EMC2
EMC3	1	EMC3
EMC3-AS1	1	EMC3-AS1
EMC4	1	EMC4
EMC6	1	EMC6
EMC7	1	EMC7
EMC8	1	EMC8
EMC9	1	EMC9
EMCN	1	EMCN
EMD	1	EMD
EME1	1	EME1
EME2	1	EME2
EMG1	1	EMG1
EMILIN1	1	EMILIN1
EMILIN2	1	EMILIN2
EMILIN3	1	EMILIN3
EML1	1	EML1
EML2	1	EML2
EML2-AS1	1	EML2-AS1
EML3	1	EML3
EML4	1	EML4
EML5	1	EML5
EML6	1	EML6
EMP1	1	EMP1
EMP2	1	EMP2
EMP3	1	EMP3
EMSLR	1	LOC101927746
EMSY	1	EMSY
EMX2	1	EMX2
EMX2OS	1	EMX2OS
EN1	1	EN1
ENAH	1	ENAH
ENC1	1	ENC1
ENDOD1	1	ENDOD1
ENDOG	1	ENDOG
ENDOV	1	ENDOV
ENG	1	ENG
ENGASE	1	ENGASE
ENKD1	1	ENKD1
ENO1	1	ENO1
ENO2	1	ENO2
ENO3	1	ENO3
ENO4	1	ENO4
ENOPH1	1	ENOPH1
ENOSF1	1	ENOSF1
ENOX1	1	ENOX1
ENOX2	1	ENOX2
ENPEP	1	ENPEP
ENPP1	1	ENPP1
ENPP2	1	ENPP2
ENPP4	1	ENPP4
ENPP5	1	ENPP5
ENSA	1	ENSA
ENSG00000124835	1	LOC93463
ENSG00000170846	1	LOC93622
ENSG00000176593	1	LOC100128398
ENSG00000183154	1	LOC102723701
ENSG00000187186	1	LOC730098
ENSG00000187951	1	LOC100288637
ENSG00000213963	1	LOC100130691
ENSG00000214708	1	LOC105371730
ENSG00000215022	1	LOC100130357
ENSG00000225032	1	LOC102723566
ENSG00000225649	1	LOC100506474
ENSG00000227741	1	LOC729867
ENSG00000231119	1	LOC101927377
ENSG00000232528	1	LOC100289473
ENSG00000233223	1	LOC100996842
ENSG00000233251	1	LOC100129434
ENSG00000233633	1	LOC105373352
ENSG00000236829	1	LOC100134368
ENSG00000237070	1	LOC105375166
ENSG00000245651	1	LOC283387
ENSG00000245748	1	LOC100129931
ENSG00000246090	1	LOC100507053
ENSG00000246308	1	LOC101928053
ENSG00000249476	1	LOC285638
ENSG00000249635	1	LOC101929577
ENSG00000250075	1	LOC101927237
ENSG00000250286	1	LOC105371824
ENSG00000251076	1	LOC101927023
ENSG00000251143	1	LOC100128494
ENSG00000251314	1	LOC101929710
ENSG00000254363	1	LOC101929719
ENSG00000255326	1	LOC105369391
ENSG00000255537	1	LOC403312
ENSG00000257176	1	LOC100506606
ENSG00000257550	1	LOC100652999
ENSG00000260063	1	LOC101928728
ENSG00000260279	1	LOC105371414
ENSG00000261335	1	LOC105274304
ENSG00000261840	1	LOC730183
ENSG00000267058	1	LOC100505715
ENSG00000268403	1	LOC644656
ENSG00000269210	1	LOC375196
ENSG00000269896	1	LOC100129534
ENSG00000272447	1	LOC642361
ENSG00000275765	1	LOC100652758
ENSG00000278390	1	LOC101929140
ENSG00000278899	1	LOC645967
ENSG00000280119	1	LOC285097
ENSG00000280424	1	LOC730668
ENSG00000284691	1	LOC728743
ENSG00000284954	1	LOC100507547
ENSG00000285336	1	LOC101928882
ENSG00000286190	1	LOC728392
ENSG00000286760	1	LOC100289495
ENSG00000287326	1	LOC728158
ENSG00000288743	1	LOC105370203
ENSG00000288989	1	LOC105376306
ENSG00000289047	1	LOC100294145
ENSG00000289161	1	LOC100310756
ENSG00000291006	1	LOC730101
ENSG00000291065	1	LOC441666
ENSG00000291107	1	LOC374443
ENSG00000291156	1	LOC100288175
ENSG00000291179	1	LOC554206
ENSG00000291211	1	LOC440300
ENSG00000291228	1	LOC652276
ENTPD1	1	ENTPD1
ENTPD1-AS1	1	ENTPD1-AS1
ENTPD3-AS1	1	ENTPD3-AS1
ENTPD4	1	ENTPD4
ENTPD5	1	ENTPD5
ENTPD6	1	ENTPD6
ENTPD7	1	ENTPD7
ENTR1	1	ENTR1
ENTREP1	1	FAM189A2
ENTREP3	1	FAM189B
ENY2	1	ENY2
EOGT	1	EOGT
EOLA1	1	CXorf40A
EOLA1-DT	1	LINC00893
EOLA2	1	CXorf40B
EOLA2-DT	1	LINC00894
EP300	1	EP300
EP400	1	EP400
EP400P1	1	EP400P1
EPAS1	1	EPAS1
EPB41	1	EPB41
EPB41L1	1	EPB41L1
EPB41L2	1	EPB41L2
EPB41L3	1	EPB41L3
EPB41L4A	1	EPB41L4A
EPB41L4A-AS1	1	EPB41L4A-AS1
EPB41L4A-DT	1	EPB41L4A-DT
EPB41L4B	1	EPB41L4B
EPB41L5	1	EPB41L5
EPC1	1	EPC1
EPC2	1	EPC2
EPDR1	1	EPDR1
EPG5	1	EPG5
EPHA2	1	EPHA2
EPHA3	1	EPHA3
EPHA4	1	EPHA4
EPHA5	1	EPHA5
EPHB1	1	EPHB1
EPHB2	1	EPHB2
EPHB3	1	EPHB3
EPHB4	1	EPHB4
EPHB6	1	EPHB6
EPHX1	1	EPHX1
EPHX2	1	EPHX2
EPHX4	1	EPHX4
EPM2A	1	EPM2A
EPM2A-DT	1	LOC100507557
EPM2AIP1	1	EPM2AIP1
EPN1	1	EPN1
EPN2	1	EPN2
EPOP	1	EPOP
EPOR	1	EPOR
EPPK1	1	EPPK1
EPS15	1	EPS15
EPS15L1	1	EPS15L1
EPS8	1	EPS8
EPS8L1	1	EPS8L1
EPS8L2	1	EPS8L2
EPSTI1	1	EPSTI1
ERAL1	1	ERAL1
ERAP1	1	ERAP1
ERAP2	1	ERAP2
ERBB2	1	ERBB2
ERBB3	1	ERBB3
ERBIN	1	ERBIN
ERC1	1	ERC1
ERCC1	1	ERCC1
ERCC2	1	ERCC2
ERCC3	1	ERCC3
ERCC4	1	ERCC4
ERCC5	1	ERCC5
ERCC6	1	ERCC6
ERCC6L	1	ERCC6L
ERCC6L2	1	ERCC6L2
ERCC6L2-AS1	1	LINC00476
ERCC8	1	ERCC8
ERF	1	ERF
ERFE	1	ERFE
ERG	1	ERG
ERG28	1	ERG28
ERGIC1	1	ERGIC1
ERGIC2	1	ERGIC2
ERGIC3	1	ERGIC3
ERH	1	ERH
ERI1	1	ERI1
ERI2	1	ERI2
ERI3	1	ERI3
ERI3-IT1	1	ERI3-IT1
ERICH1	1	ERICH1
ERICH2	1	ERICH2
ERICH5	1	ERICH5
ERICH6-AS1	1	ERICH6-AS1
ERLEC1	1	ERLEC1
ERLIN1	1	ERLIN1
ERLIN2	1	ERLIN2
ERMAP	1	ERMAP
ERMARD	1	ERMARD
ERMP1	1	ERMP1
ERN1	1	ERN1
ERO1A	1	ERO1A
ERO1B	1	ERO1B
ERP29	1	ERP29
ERP44	1	ERP44
ERRFI1	1	ERRFI1
ERV3-1	1	ERV3-1
ERVK13-1	1	ERVK13-1
ERVMER34-1	1	ERVMER34-1
ESAM	1	ESAM
ESCO1	1	ESCO1
ESCO2	1	ESCO2
ESD	1	ESD
ESF1	1	ESF1
ESM1	1	ESM1
ESPL1	1	ESPL1
ESPNL	1	ESPNL
ESR1	1	ESR1
ESR2	1	ESR2
ESRP2	1	ESRP2
ESRRA	1	ESRRA
ESS2	1	ESS2
ESYT1	1	ESYT1
ESYT2	1	ESYT2
ESYT3	1	ESYT3
ETAA1	1	ETAA1
ETF1	1	ETF1
ETFA	1	ETFA
ETFB	1	ETFB
ETFBKMT	1	ETFBKMT
ETFDH	1	ETFDH
ETFRF1	1	ETFRF1
ETHE1	1	ETHE1
ETNK1	1	ETNK1
ETNK2	1	ETNK2
ETS1	1	ETS1
ETS2	1	ETS2
ETV1	1	ETV1
ETV2	1	ETV2
ETV3	1	ETV3
ETV4	1	ETV4
ETV5	1	ETV5
ETV6	1	ETV6
ETV7	1	ETV7
EVA1A	1	EVA1A
EVA1B	1	EVA1B
EVA1C	1	EVA1C
EVC	1	EVC
EVC2	1	EVC2
EVI2B	1	EVI2B
EVI5	1	EVI5
EVI5L	1	EVI5L
EVL	1	EVL
EWSAT1	1	EWSAT1
EWSR1	1	EWSR1
EXD2	1	EXD2
EXD3	1	EXD3
EXO1	1	EXO1
EXO5	1	EXO5
EXOC1	1	EXOC1
EXOC2	1	EXOC2
EXOC3	1	EXOC3
EXOC3-AS1	1	EXOC3-AS1
EXOC4	1	EXOC4
EXOC5	1	EXOC5
EXOC6	1	EXOC6
EXOC6B	1	EXOC6B
EXOC7	1	EXOC7
EXOC8	1	EXOC8
EXOG	1	EXOG
EXOSC1	1	EXOSC1
EXOSC10	1	EXOSC10
EXOSC10-AS1	1	LOC105376736
EXOSC2	1	EXOSC2
EXOSC3	1	EXOSC3
EXOSC4	1	EXOSC4
EXOSC5	1	EXOSC5
EXOSC6	1	EXOSC6
EXOSC7	1	EXOSC7
EXOSC9	1	EXOSC9
EXPH5	1	EXPH5
EXT1	1	EXT1
EXT2	1	EXT2
EXTL1	1	EXTL1
EXTL2	1	EXTL2
EXTL3	1	EXTL3
EXTL3-AS1	1	EXTL3-AS1
EYA1	1	EYA1
EYA2	1	EYA2
EYA3	1	EYA3
EYA4	1	EYA4
EZH1	1	EZH1
EZH2	1	EZH2
EZR	1	EZR
F10	1	F10
F11R	1	F11R
F12	1	F12
F2R	1	F2R
F2RL1	1	F2RL1
F2RL2	1	F2RL2
F3	1	F3
F8	1	F8
F8A1	1	F8A1
FAAH	1	FAAH
FAAH2	1	FAAH2
FAAHP1	1	FAAHP1
FAAP100	1	FAAP100
FAAP20	1	FAAP20
FAAP24	1	FAAP24
FABP3	1	FABP3
FABP5	1	FABP5
FADD	1	FADD
FADS1	1	FADS1
FADS2	1	FADS2
FADS3	1	FADS3
FAF1	1	FAF1
FAF2	1	FAF2
FAH	1	FAH
FAHD1	1	FAHD1
FAHD2A	1	FAHD2A
FAHD2B	1	FAHD2B
FAHD2CP	1	FAHD2CP
FAIM	1	FAIM
FAIM2	1	FAIM2
FALEC	1	FALEC
FAM104A	1	FAM104A
FAM104B	1	FAM104B
FAM106B	1	FAM106B
FAM106C	1	FAM106CP
FAM107A	1	FAM107A
FAM107B	1	FAM107B
FAM110A	1	FAM110A
FAM110B	1	FAM110B
FAM111A	1	FAM111A
FAM111A-DT	1	FAM111A-DT
FAM111B	1	FAM111B
FAM114A1	1	FAM114A1
FAM114A2	1	FAM114A2
FAM117A	1	FAM117A
FAM117B	1	FAM117B
FAM118A	1	FAM118A
FAM118B	1	FAM118B
FAM120A	1	FAM120A
FAM120AOS	1	FAM120AOS
FAM120B	1	FAM120B
FAM120C	1	FAM120C
FAM124A	1	FAM124A
FAM131A	1	FAM131A
FAM131B	1	FAM131B
FAM131B-AS2	1	LOC100507507
FAM133B	1	FAM133B
FAM133CP	1	FAM133CP
FAM135A	1	FAM135A
FAM136A	1	FAM136A
FAM13A	1	FAM13A
FAM13A-AS1	1	FAM13A-AS1
FAM13B	1	FAM13B
FAM13C	1	FAM13C
FAM149A	1	FAM149A
FAM149B1	1	FAM149B1
FAM151B	1	FAM151B
FAM156B	1	FAM156B
FAM157A	1	FAM157A
FAM161A	1	FAM161A
FAM161B	1	FAM161B
FAM162A	1	FAM162A
FAM162B	1	FAM162B
FAM166A	1	FAM166A
FAM167A	1	FAM167A
FAM167B	1	FAM167B
FAM168A	1	FAM168A
FAM168B	1	FAM168B
FAM169A	1	FAM169A
FAM171A1	1	FAM171A1
FAM171A2	1	FAM171A2
FAM171B	1	FAM171B
FAM172A	1	FAM172A
FAM174A	1	FAM174A
FAM174B	1	FAM174B
FAM174C	1	C19orf24
FAM177A1	1	FAM177A1
FAM180A	1	FAM180A
FAM180B	1	FAM180B
FAM182B	1	FAM182B
FAM184A	1	FAM184A
FAM185A	1	FAM185A
FAM185BP	1	FAM185BP
FAM186B	1	FAM186B
FAM187A	1	FAM187A
FAM193B	1	FAM193B
FAM199X	1	FAM199X
FAM200A	1	FAM200A
FAM200B	1	FAM200B
FAM200C	1	ZBED8
FAM204A	1	FAM204A
FAM20A	1	FAM20A
FAM20C	1	FAM20C
FAM210A	1	FAM210A
FAM210B	1	FAM210B
FAM216A	1	FAM216A
FAM217B	1	FAM217B
FAM218A	1	FAM218A
FAM219A	1	FAM219A
FAM219B	1	FAM219B
FAM21EP	1	FAM21EP
FAM220A	1	FAM220A
FAM221A	1	FAM221A
FAM222A	1	FAM222A
FAM222B	1	FAM222B
FAM227A	1	FAM227A
FAM227B	1	FAM227B
FAM228A	1	FAM228A
FAM228B	1	FAM228B
FAM229A	1	FAM229A
FAM234A	1	FAM234A
FAM234B	1	FAM234B
FAM238C	1	FAM238C
FAM241A	1	FAM241A
FAM24B	1	FAM24B
FAM27E3	1	FAM27E3
FAM32A	1	FAM32A
FAM3A	1	FAM3A
FAM3C	1	FAM3C
FAM43A	1	FAM43A
FAM43B	1	FAM43B
FAM50A	1	FAM50A
FAM50B	1	FAM50B
FAM53B	1	FAM53B
FAM53C	1	FAM53C
FAM66B	1	FAM66B
FAM66C	1	FAM66C
FAM66D	1	FAM66D
FAM72B	1	FAM72B
FAM76A	1	FAM76A
FAM76B	1	FAM76B
FAM78A	1	FAM78A
FAM78B	1	FAM78B
FAM81A	1	FAM81A
FAM83D	1	FAM83D
FAM83G	1	FAM83G
FAM83H	1	FAM83H
FAM86B1	1	FAM86B1
FAM86B2	1	FAM86B2
FAM86B3P	1	FAM86B3P
FAM86C1P	1	FAM86C1
FAM86DP	1	FAM86DP
FAM86FP	1	FAM86FP
FAM86HP	1	FAM86HP
FAM86JP	1	FAM86JP
FAM88B	1	LOC728673
FAM88E	1	LOC103908605
FAM89A	1	FAM89A
FAM89B	1	FAM89B
FAM8A1	1	FAM8A1
FAM90A1	1	FAM90A1
FAM91A1	1	FAM91A1
FAM98A	1	FAM98A
FAM98B	1	FAM98B
FAM98C	1	FAM98C
FAN1	1	FAN1
FANCA	1	FANCA
FANCB	1	FANCB
FANCC	1	FANCC
FANCD2	1	FANCD2
FANCE	1	FANCE
FANCF	1	FANCF
FANCG	1	FANCG
FANCI	1	FANCI
FANCL	1	FANCL
FANCM	1	FANCM
FANK1	1	FANK1
FAP	1	FAP
FAR1	1	FAR1
FAR2	1	FAR2
FAR2P2	1	FAR2P2
FARP1	1	FARP1
FARP2	1	FARP2
FARS2	1	FARS2
FARSA	1	FARSA
FARSB	1	FARSB
FAS	1	FAS
FASN	1	FASN
FASTK	1	FASTK
FASTKD1	1	FASTKD1
FASTKD2	1	FASTKD2
FASTKD3	1	FASTKD3
FASTKD5	1	FASTKD5
FAT1	1	FAT1
FAT4	1	FAT4
FAU	1	FAU
FAXC	1	FAXC
FAXDC2	1	FAXDC2
FBH1	1	FBH1
FBL	1	FBL
FBLIM1	1	FBLIM1
FBLL1	1	FBLL1
FBLN1	1	FBLN1
FBLN2	1	FBLN2
FBLN5	1	FBLN5
FBLN7	1	FBLN7
FBN1	1	FBN1
FBN2	1	FBN2
FBRS	1	FBRS
FBRSL1	1	FBRSL1
FBXL12	1	FBXL12
FBXL13	1	FBXL13
FBXL14	1	FBXL14
FBXL15	1	FBXL15
FBXL16	1	FBXL16
FBXL17	1	FBXL17
FBXL18	1	FBXL18
FBXL19	1	FBXL19
FBXL19-AS1	1	FBXL19-AS1
FBXL2	1	FBXL2
FBXL20	1	FBXL20
FBXL22	1	FBXL22
FBXL3	1	FBXL3
FBXL4	1	FBXL4
FBXL5	1	FBXL5
FBXL6	1	FBXL6
FBXL7	1	FBXL7
FBXL8	1	FBXL8
FBXL9P	1	LRRC29
FBXO10	1	FBXO10
FBXO11	1	FBXO11
FBXO15	1	FBXO15
